number;german;english
1;eins;one
2;zwei;two
3;drei;three
4;vier;four
5;fünf;five
6;sechs;six
7;sieben;seven
8;acht;eight
9;neun;nine
10;zehn;ten
11;elf;eleven
12;zwölf;twelve
13;dreizehn;thridteen
14;vierzehn;fourteen
15;fünfzehn;fiveteen
16;sechzehn;sixteen
17;siebzehn;seventeen
18;achtzehn;eighteen
19;neunzehn;nineteen
20;zwanzig;twenty
21;einundzwanzig;Twenty one
22;zweiundzwanzig;Twenty two
23;dreiundzwanzig;Twenty three
24;vierundzwanzig;Twenty four
25;fünfundzwanzig;Twenty five
26;sechsundzwanzig;Twenty six
27;siebenundzwanzig;Twenty seven
28;achtundzwanzig;Twenty eight
29;neunundzwanzig;Twenty nine
30;dreißig;thrity
31;einunddreißig;thirty one
32;zweiunddreißig;thirty two
33;dreiunddreißig;thirty three
34;vierunddreißig;thirty four
35;fünfunddreißig;thirty five
36;sechsunddreißig;thirty six
37;siebenunddreißig;thirty seven
38;achtunddreißig;thirty eight
39;neununddreißig;thirty nine
40;vierzig;forty
41;einundvierzig;forty one
42;zweiundvierzig;forty two
43;dreiundvierzig;forty three
44;vierundvierzig;forty four
45;fünfundvierzig;forty five
46;sechsundvierzig;forty six
47;siebenundvierzig;forty seven
48;achtundvierzig;forty eight
49;neunundvierzig;forty nine
50;fünfzig;fifty
51;einundfünfzig;fifty one
52;zweiundfünfzig;fifty two
53;dreiundfünfzig;fifty three
54;vierundfünfzig;fifty four
55;fünfundfünfzig;fifty five
56;sechsundfünfzig;fifty six
57;siebenundfünfzig;fifty seven
58;achtundfünfzig;fifty eight
59;neunundfünfzig;fifty nine
60;sechzig;sixty
61;einundsechzig;sixty one
62;zweiundsechzig;sixty two
63;dreiundsechzig;sixty three
64;vierundsechzig;sixty four
65;fünfundsechzig;sixty five
66;sechsundsechzig;sixty six
67;siebenundsechzig;sixty seven
68;achtundsechzig;sixty eight
69;neunundsechzig;sixty nine
70;siebzig;seventy
71;einundsiebzig;seventy one
72;zweiundsiebzig;seventy two
73;dreiundsiebzig;seventy three
74;vierundsiebzig;seventy four
75;fünfundsiebzig;seventy five
76;sechsundsiebzig;seventy six
77;siebenundsiebzig;seventy seven
78;achtundsiebzig;seventy eight
79;neunundsiebzig;seventy nine
80;achtzig;eighty
81;einundachtzig;eighty one
82;zweiundachtzig;eighty two
83;dreiundachtzig;eighty three
84;vierundachtzig;eighty four
85;fünfundachtzig;eighty five
86;sechsundachtzig;eighty six
87;siebenundachtzig;eighty seven
88;achtundachtzig;eighty eight
89;neunundachtzig;eighty nine
90;neunzig;ninety
91;einundneunzig;ninety one
92;zweiundneunzig;ninety two
93;dreiundneunzig;ninety three
94;vierundneunzig;ninety four
95;fünfundneunzig;ninety five
96;sechsundneunzig;ninety six
97;siebenundneunzig;ninety seven
98;achtundneunzig;ninety eight
99;neunundneunzig;ninety nine
100;hundert;one hundred
